mall_id,name,region,operator,lat,lon,A_dining_count,A_dining_score,B_fitness_count,B_fitness_score,C_engagement_count,C_engagement_score,D_healthcare_count,D_healthcare_score,E_infra_count,E_infra_score,F_partnership_score,pop_catchment,senior_pop_catchment,reach_population_score,mrt_count,bus_count,accessibility_score,engagement_gap_score
0,313@somerset,Central,Unknown,1.301014364040584,103.8383606644851,28,13.526570048309178,1,14.285714285714285,0,0.0,3,17.647058823529413,9,1.8907563025210083,0.0,18920.0,2210.0,8.397327208393648,31,7,34.39077144917087,100.0
1,Alexandra Retail Centre,Central,Unknown,1.27414893629255,103.8013994166651,16,7.729468599033816,1,14.285714285714285,0,0.0,2,11.76470588235294,134,28.15126050420168,0.0,28920.0,5430.0,14.794849774643454,3,9,20.47584715212689,100.0
2,Bugis Junction,Central,CapitaMall Trust,1.299112874758746,103.8554111737572,31,14.975845410628018,2,28.57142857142857,0,0.0,2,11.76470588235294,0,0.0,80.0,20630.0,5350.0,11.96365875500085,47,21,82.1917808219178,100.0
3,Bugis+,Central,CapitaMall Trust,1.299603689902971,103.8542423474883,40,19.32367149758454,3,42.857142857142854,0,0.0,2,11.76470588235294,0,0.0,80.0,23290.0,5900.0,13.372732666598473,48,21,82.87671232876713,100.0
4,Capitol Piazza,Central,Unknown,1.293078847631338,103.8512619821488,14,6.763285024154589,0,0.0,0,0.0,2,11.76470588235294,46,9.663865546218489,0.0,8140.0,1800.0,4.42361137656579,58,13,68.67339581831291,100.0
5,Cathay Cineleisure Orchard,Central,Cathay Organisation,1.30152101873534,103.8364296550156,16,7.729468599033816,1,14.285714285714285,0,0.0,3,17.647058823529413,1,0.21008403361344538,0.0,20960.0,2750.0,9.590824103442664,29,6,30.38932948810382,100.0
6,The Centrepoint,Central,Frasers Centrepoint,1.302303823328855,103.8397581729686,7,3.3816425120772946,2,28.57142857142857,0,0.0,1,5.88235294117647,10,2.100840336134454,26.666666666666664,16230.0,2000.0,7.302918144756092,36,6,35.18385003604902,100.0
7,City Square Mall,Central,Unknown,1.311421031076843,103.8566240199911,34,16.425120772946862,1,14.285714285714285,0,0.0,2,11.76470588235294,34,7.142857142857142,0.0,36830.0,8740.0,20.58378789666672,28,6,29.704397981254502,100.0
8,CityLink Mall,Central,Unknown,1.292777731289308,103.854173501417,27,13.043478260869565,1,14.285714285714285,0,0.0,3,17.647058823529413,10,2.100840336134454,0.0,5380.0,1250.0,2.9813069878734595,51,9,53.352559480894016,100.0
9,Chinatown Point,Central,Unknown,1.284998828474023,103.8446970811421,38,18.357487922705314,1,14.285714285714285,2,100.0,6,35.294117647058826,82,17.22689075630252,0.0,30580.0,7040.0,16.88371312280515,61,12,68.09661139149243,0.0
11,Duo,Central,Unknown,1.299534348916636,103.8584016877393,2,0.966183574879227,1,14.285714285714285,0,0.0,1,5.88235294117647,0,0.0,0.0,28070.0,7110.0,16.116464557657988,38,17,65.50108147080029,100.0
12,Far East Plaza,Central,Unknown,1.307176980711882,103.833792932243,13,6.280193236714976,1,14.285714285714285,0,0.0,2,11.76470588235294,0,0.0,0.0,24080.0,3440.0,11.286431029535901,22,6,25.594808940158615,100.0
13,Funan,Central,Unknown,1.291347596977954,103.8499897900843,24,11.594202898550725,0,0.0,0,0.0,2,11.76470588235294,51,10.714285714285714,0.0,8140.0,1800.0,4.42361137656579,60,14,72.67483777937996,100.0
14,Great World,Central,Unknown,1.293422726500028,103.8320221466545,16,7.729468599033816,1,14.285714285714285,1,50.0,3,17.647058823529413,7,1.4705882352941175,0.0,62510.0,11570.0,31.819474987470958,26,10,38.86085075702955,50.0
15,HDB Hub,Central,Unknown,1.332054851904816,103.8485076430788,26,12.560386473429952,0,0.0,1,50.0,4,23.52941176470588,33,6.932773109243698,0.0,103240.0,21020.0,54.37716364869247,11,11,31.218457101658252,50.0
17,ION Orchard,Central,Unknown,1.303979741445055,103.832032328465,23,11.11111111111111,1,14.285714285714285,0,0.0,5,29.411764705882355,0,0.0,0.0,30970.0,4370.0,14.46398034757381,24,11,40.122566690699344,100.0
18,Jelita Mall,Central,Unknown,1.317545559398872,103.7858505425145,4,1.932367149758454,0,0.0,0,0.0,1,5.88235294117647,8,1.680672268907563,0.0,35810.0,6830.0,18.421157845068375,2,8,17.159336697909154,100.0
19,Junction 8,Central,Unknown,1.350481253450499,103.848760473211,41,19.806763285024154,0,0.0,1,50.0,5,29.411764705882355,12,2.5210084033613445,0.0,57930.0,10040.0,28.836666176635234,10,6,17.375630857966833,50.0
20,Liat Towers,Central,Unknown,1.305087227108509,103.8307225811674,16,7.729468599033816,3,42.857142857142854,0,0.0,8,47.05882352941176,0,0.0,0.0,29940.0,4220.0,13.97848555507694,23,11,39.437635183850034,100.0
21,Lucky Plaza,Central,Unknown,1.304506046466357,103.8339623398165,15,7.246376811594203,2,28.57142857142857,0,0.0,3,17.647058823529413,0,0.0,0.0,25630.0,3700.0,12.049752947100929,25,8,32.9127613554434,100.0
22,Marina Bay Sands,Central,Unknown,1.283994101392069,103.859450636919,10,4.830917874396135,0,0.0,0,0.0,2,11.76470588235294,0,0.0,0.0,60.0,0.0,0.019938286256824114,47,4,37.45493871665465,100.0
23,Marina Bay Link Mall,Central,Unknown,1.280238254460868,103.8533696625463,12,5.797101449275362,1,14.285714285714285,0,0.0,7,41.17647058823529,2,0.42016806722689076,0.0,13910.0,2750.0,7.24807546826583,60,7,54.253785147801004,100.0
24,Marina Square,Central,Unknown,1.291855332730248,103.8585780890598,28,13.526570048309178,1,14.285714285714285,0,0.0,1,5.88235294117647,11,2.3109243697478994,0.0,3160.0,840.0,1.8521199953525076,38,10,47.08002883922134,100.0
25,Millenia Walk,Central,Unknown,1.292605444624933,103.8597249444427,8,3.864734299516908,1,14.285714285714285,0,0.0,0,0.0,6,1.2605042016806722,0.0,3150.0,840.0,1.8487969476430366,32,10,42.97043979812545,100.0
26,Mustafa Centre,Central,Unknown,1.310112131903957,103.8552908739255,17,8.212560386473431,1,14.285714285714285,0,0.0,2,11.76470588235294,34,7.142857142857142,0.0,38350.0,9100.0,21.432621256717596,29,7,33.02090843547224,100.0
27,Ngee Ann City,Central,Ngee Ann Development,1.30224168528687,103.8351819122968,23,11.11111111111111,5,71.42857142857143,0,0.0,10,58.82352941176471,0,0.0,0.0,22270.0,2940.0,10.207556466050413,29,8,35.65248738284066,100.0
28,Orchard Central,Central,Far East Organization,1.300838908392453,103.8394347338989,5,2.4154589371980677,2,28.57142857142857,0,0.0,0,0.0,10,2.100840336134454,0.0,18990.0,2250.0,8.458780776605646,33,7,35.7606344628695,100.0
