mall_id,name,region,operator,lat,lon,postal_code,address
75,NEX,North-East,Unknown,1.350769352578452,103.8722961438613,556083,23 SERANGOON CENTRAL NEX SINGAPORE 556083
76,Oasis Terraces,North-East,Unknown,1.402817186555658,103.9136086024412,,681 PUNGGOL DRIVE ACT 3 DRAMA ACADEMY OASIS TERRACES
77,Punggol Plaza,North-East,Unknown,1.39423719717118,103.913047323223,820168,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168
78,The Seletar Mall,North-East,Unknown,1.391470153746278,103.876125507257,797653,33 SENGKANG WEST AVENUE THE SELETAR MALL SINGAPORE 797653
79,Waterway Point,North-East,Unknown,1.406536116905548,103.9019881717096,,83 PUNGGOL CENTRAL SHAW THEATRES WATERWAY POINT
80,Gek Poh Shopping Centre,West,Unknown,1.348743571364091,103.6977320910003,640762,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762
81,Hillion Mall,West,Unknown,1.37843100827587,103.7628427898765,678278,17 PETIR ROAD HILLION MALL SINGAPORE 678278
82,IMM,West,Unknown,1.334875261180072,103.7468947730077,609601,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601
83,Jem,West,Unknown,1.333293344734624,103.743278742341,608549,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549
84,Junction 10,West,Unknown,1.38033681049385,103.7601678834385,677899,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899
85,Jurong Point,West,Unknown,1.334844874712597,103.7204620242775,,399 YUNG SHENG ROAD FAMILY POINT CLINIC AND SURGERY TAMAN JURONG SHOPPING CENTRE
86,Lot 1,West,Unknown,1.315735793533668,103.8915604670403,409050,11 PAYA LEBAR ROAD LOTUS AT PAYA LEBAR (EAST WING) SINGAPORE 409050
87,Pioneer Mall,West,Unknown,1.341650627650517,103.6971292926576,,638 JURONG WEST STREET 61 APEXHUB PIONEER MALL
88,Queensway Shopping Centre,West,Unknown,1.287595189398704,103.8033972877883,149053,1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053
89,The Clementi Mall,West,Unknown,1.314896196393653,103.764423054189,129588,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588
90,The Rail Mall,West,Unknown,1.35781103484491,103.7680806329584,678042,384 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678042
91,The Star Vista,West,Unknown,1.306970440383233,103.7884202741146,,1 VISTA EXCHANGE GREEN THE STAR VISTA
92,West Coast Plaza,West,Unknown,1.303624575279406,103.7658583869225,,154 WEST COAST ROAD MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED
93,Westgate,West,Unknown,1.334157675568678,103.7427664844237,608532,3 GATEWAY DRIVE WESTGATE SINGAPORE 608532
94,West Mall,West,Unknown,1.350021075943163,103.7492164938305,658713,1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713
95,111 Somerset,Unknown,Unknown,1.30020625685961,103.8373171327961,238164,111 SOMERSET ROAD 111 SOMERSET SINGAPORE 238164
96,600 @ Toa Payoh,Unknown,Unknown,1.334036238944651,103.8509777064745,319515,600 LORONG 4 TOA PAYOH 600 @ TOA PAYOH SINGAPORE 319515
97,Anchorpoint,Unknown,Unknown,1.288614690305858,103.8050099645917,159953,370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953
98,Beauty World Centre,Unknown,Unknown,1.342412641886426,103.7765393854061,588177,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177
99,Beauty World Plaza,Unknown,Unknown,1.34180018619223,103.7762593598538,588176,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176
